"CH1:1x_x","CH1:1x_y","CH1:2x_x","CH1:2x_y","CH1:4x_x","CH1:4x_y","CH1:5x_x","CH1:5x_y","CH1:8x_x","CH1:8x_y","CH1:10x_x","CH1:10x_y","CH1:16x_x","CH1:16x_y","CH1:32x_x","CH1:32x_y","CH2:1x_x","CH2:1x_y","CH2:2x_x","CH2:2x_y","CH2:4x_x","CH2:4x_y","CH2:5x_x","CH2:5x_y","CH2:8x_x","CH2:8x_y","CH2:10x_x","CH2:10x_y","CH2:16x_x","CH2:16x_y","CH2:32x_x","CH2:32x_y"
3120,1.793423,3120,1.773443,3120,1.763981,3120,1.763761, , , , , , , , ,3120,1.72632,3120,1.713446,3120,1.708285,3120,1.705792, , , , , , , , ,
3150,1.842978,3150,1.822442,3150,1.812634,3150,1.812611, , , , , , , , ,3150,1.775221,3150,1.761962,3150,1.757355,3150,1.754393, , , , , , , , ,
3180,1.89133,3180,1.870902,3180,1.860691,3180,1.860813, , , , , , , , ,3180,1.823477,3180,1.810432,3180,1.805338,3180,1.802799, , , , , , , , ,
3210,1.940326,3210,1.919636,3210,1.909575,3210,1.909633, , , , , , , , ,3210,1.872125,3210,1.859071,3210,1.853805,3210,1.85139, , , , , , , , ,
3240,1.989202,3240,1.96865,3240,1.95852,3240,1.958798, , , , , , , , ,3240,1.92093,3240,1.908024,3240,1.902848,3240,1.900279, , , , , , , , ,
3270,2.038883,3270,2.018062,3270,2.008009,3270,2.008308, , , , , , , , ,3270,1.970446,3270,1.957461,3270,1.95218,3270,1.949456, , , , , , , , ,
3300,2.085482,3300,2.066514,3300,2.056867,3300,2.056902, , , , , , , , ,3300,2.018953,3300,2.006201,3300,2.000672,3300,1.998019, , , , , , , , ,
3330,2.134524,3330,2.115007,3330,2.105248,3330,2.105305, , , , , , , , ,3330,2.06733,3330,2.054759,3330,2.049616,3330,2.046515, , , , , , , , ,
3360,2.182402,3360,2.163359,3360,2.153375,3360,2.153676, , , , , , , , ,3360,2.113536,3360,2.102453,3360,2.09725,3360,2.094552, , , , , , , , ,
3390,2.231026,3390,2.211662,3390,2.201555,3390,2.201707, , , , , , , , ,3390,2.161989,3390,2.150231,3390,2.145728,3390,2.142598, , , , , , , , ,
3420,2.27905,3420,2.259684,3420,2.249782,3420,2.250144, , , , , , , , ,3420,2.210088,3420,2.198484,3420,2.193787,3420,2.19083, , , , , , , , ,
3450,2.327875,3450,2.308091,3450,2.298097,3450,2.298113, , , , , , , , ,3450,2.258123,3450,2.246574,3450,2.241857,3450,2.238873, , , , , , , , ,
3480,2.37599,3480,2.356737,3480,2.346341,3480,2.346668, , , , , , , , ,3480,2.306666,3480,2.295107,3480,2.290424,3480,2.287001, , , , , , , , ,
3510,2.425067,3510,2.405467,3510,2.394987,3510,2.39533, , , , , , , , ,3510,2.35532,3510,2.343723,3510,2.338719,3510,2.335571, , , , , , , , ,
3540,2.47438,3540,2.454813,3540,2.444499,3540,2.445026, , , , , , , , ,3540,2.404351,3540,2.392908,3540,2.388085,3540,2.38504, , , , , , , , ,
3570,2.524258,3570,2.504464,3570,2.493821,3570,2.494182, , , , , , , , ,3570,2.454118,3570,2.442494,3570,2.437597,3570,2.434466, , , , , , , , ,
3600,2.572801,3600,2.553675,3600,2.543081,3600,2.543754, , , , , , , , ,3600,2.502621,3600,2.491712,3600,2.486602,3600,2.483264, , , , , , , , ,
3630,2.622145,3630,2.601664,3630,2.591397,3630,2.59209, , , , , , , , ,3630,2.551788,3630,2.540428,3630,2.535487,3630,2.531875, , , , , , , , ,
3660,2.671232,3660,2.650846,3660,2.640319,3660,2.641221, , , , , , , , ,3660,2.600377,3660,2.588395,3660,2.583859,3660,2.580611, , , , , , , , ,
3690,2.719468,3690,2.698677,3690,2.688692,3690,2.689089, , , , , , , , ,3690,2.648643,3690,2.636359,3690,2.631851,3690,2.628666, , , , , , , , ,
3720,2.767487,3720,2.747099,3720,2.736987,3720,2.737435, , , , , , , , ,3720,2.696612,3720,2.684713,3720,2.680181,3720,2.677089, , , , , , , , ,
3750,2.816463,3750,2.796128,3750,2.78553,3750,2.786109, , , , , , , , ,3750,2.745391,3750,2.733158,3750,2.728897,3750,2.725173, , , , , , , , ,
3780,2.865691,3780,2.84482,3780,2.834437,3780,2.835237, , , , , , , , ,3780,2.794207,3780,2.782088,3780,2.77791,3780,2.774221, , , , , , , , ,
3810,2.914174,3810,2.893398,3810,2.88253,3810,2.883586, , , , , , , , ,3810,2.843112,3810,2.830866,3810,2.826379,3810,2.822568, , , , , , , , ,
3840,2.962793,3840,2.942203,3840,2.931228,3840,2.932136, , , , , , , , ,3840,2.89095,3840,2.879056,3840,2.874291,3840,2.870999, , , , , , , , ,
3870,3.012091,3870,2.990915,3870,2.980236,3870,2.980979, , , , , , , , ,3870,2.940108,3870,2.927964,3870,2.923278,3870,2.919588, , , , , , , , ,
3900,3.061561,3900,3.040583,3900,3.029451,3900,3.030311, , , , , , , , ,3900,2.989179,3900,2.977034,3900,2.972163,3900,2.968701, , , , , , , , ,
3930,3.109087,3930,3.089182,3930,3.078308,3930,3.079143, , , , , , , , ,3930,3.038297,3930,3.026103,3930,3.0214,3930,3.017714, , , , , , , , ,
3960,3.15763,3960,3.137337,3960,3.126488,3960,3.12781, , , , , , , , ,3960,3.085878,3960,3.074737,3960,3.069993,3960,3.066132, , , , , , , , ,
3990,3.206626,3990,3.18623,3990,3.17561,3990,3.176622, , , , , , , , ,3990,3.133897,3990,3.122607,3990,3.118474,3990,3.114686, , , , , , , , ,
4020,3.255481,4020,3.235236,4020,3.224541,4020,3.225858, , , , , , , , ,4020,3.182918,4020,3.171725,4020,3.167437,4020,3.163716, , , , , , , , ,
4050,3.305873,4050,3.285389,4050,3.274345,4050,3.275807, , , , , , , , ,4050,3.233023,4050,3.221499,4050,3.217154,4050,3.213378, , , , , , , , ,
4080,3.356022,4080,3.33503,4080,3.324382,4080,3.282286, , , , , , , , ,4080,3.282271,4080,3.271226,4080,3.267068,4080,3.263294, , , , , , , , ,
